ablation_mode,memory_mode,vertical,reranker_backend,feature_count,forbidden_feature_count,train_records,dev_records,test_records,dev_recall_at_5,test_recall_at_5,candidate_recall_at_100,calibrated_weights_version
prompt_plus_metadata,mm0_no_context,airline,calibrated_linear,14,0,1775,349,376,0.0,0.0,0.0,phase3_block12_v1
prompt_plus_metadata,mm0_no_context,finance,calibrated_linear,14,0,1795,371,334,0.0,0.0,0.0,phase3_block12_v1
prompt_plus_metadata,mm0_no_context,healthcare_admin,calibrated_linear,14,0,1729,391,380,0.0,0.0,0.0,phase3_block12_v1
prompt_plus_metadata,mm0_no_context,research_ai,calibrated_linear,14,0,1733,399,368,0.0,0.0,0.0,phase3_block12_v1
prompt_plus_metadata,mm0_no_context,retail,calibrated_linear,14,0,1729,358,413,0.0,0.0,0.0,phase3_block12_v1
prompt_plus_metadata,mm1_dense_top5,airline,calibrated_linear,14,0,1775,349,376,0.544174,0.533466,0.623467,phase3_block12_v1
prompt_plus_metadata,mm1_dense_top5,finance,calibrated_linear,14,0,1795,371,334,0.197439,0.160928,0.7729,phase3_block12_v1
prompt_plus_metadata,mm1_dense_top5,healthcare_admin,calibrated_linear,14,0,1729,391,380,0.711424,0.729825,0.7548,phase3_block12_v1
prompt_plus_metadata,mm1_dense_top5,research_ai,calibrated_linear,14,0,1733,399,368,0.672594,0.631013,0.856637,phase3_block12_v1
prompt_plus_metadata,mm1_dense_top5,retail,calibrated_linear,14,0,1729,358,413,0.25,0.19088,0.8846,phase3_block12_v1
prompt_plus_metadata,mm2_hybrid_top5,airline,calibrated_linear,14,0,1775,349,376,0.724928,0.678856,0.7619,phase3_block12_v1
prompt_plus_metadata,mm2_hybrid_top5,finance,calibrated_linear,14,0,1795,371,334,0.274933,0.278443,0.822,phase3_block12_v1
prompt_plus_metadata,mm2_hybrid_top5,healthcare_admin,calibrated_linear,14,0,1729,391,380,0.787298,0.82193,0.816467,phase3_block12_v1
prompt_plus_metadata,mm2_hybrid_top5,research_ai,calibrated_linear,14,0,1733,399,368,0.667242,0.634166,0.871619,phase3_block12_v1
prompt_plus_metadata,mm2_hybrid_top5,retail,calibrated_linear,14,0,1729,358,413,0.268622,0.198951,0.923667,phase3_block12_v1
prompt_plus_metadata,mm3_compressed_hybrid_top5,airline,calibrated_linear,14,0,1775,349,376,0.724928,0.678856,0.7619,phase3_block12_v1
prompt_plus_metadata,mm3_compressed_hybrid_top5,finance,calibrated_linear,14,0,1795,371,334,0.274933,0.278443,0.822,phase3_block12_v1
prompt_plus_metadata,mm3_compressed_hybrid_top5,healthcare_admin,calibrated_linear,14,0,1729,391,380,0.787298,0.82193,0.816467,phase3_block12_v1
prompt_plus_metadata,mm3_compressed_hybrid_top5,research_ai,calibrated_linear,14,0,1733,399,368,0.667242,0.634166,0.871619,phase3_block12_v1
prompt_plus_metadata,mm3_compressed_hybrid_top5,retail,calibrated_linear,14,0,1729,358,413,0.268622,0.198951,0.923667,phase3_block12_v1
prompt_plus_source_hints,mm0_no_context,airline,calibrated_linear,17,0,1775,349,376,0.0,0.0,0.0,phase3_block12_v1
prompt_plus_source_hints,mm0_no_context,finance,calibrated_linear,17,0,1795,371,334,0.0,0.0,0.0,phase3_block12_v1
prompt_plus_source_hints,mm0_no_context,healthcare_admin,calibrated_linear,17,0,1729,391,380,0.0,0.0,0.0,phase3_block12_v1
prompt_plus_source_hints,mm0_no_context,research_ai,calibrated_linear,17,0,1733,399,368,0.0,0.0,0.0,phase3_block12_v1
prompt_plus_source_hints,mm0_no_context,retail,calibrated_linear,17,0,1729,358,413,0.0,0.0,0.0,phase3_block12_v1
prompt_plus_source_hints,mm1_dense_top5,airline,calibrated_linear,17,0,1775,349,376,0.807068,0.824246,0.826467,phase3_block12_v1
prompt_plus_source_hints,mm1_dense_top5,finance,calibrated_linear,17,0,1795,371,334,0.847035,0.803144,0.8362,phase3_block12_v1
prompt_plus_source_hints,mm1_dense_top5,healthcare_admin,calibrated_linear,17,0,1729,391,380,0.760017,0.774561,0.781267,phase3_block12_v1
prompt_plus_source_hints,mm1_dense_top5,research_ai,calibrated_linear,17,0,1733,399,368,0.969171,0.958014,0.972859,phase3_block12_v1
prompt_plus_source_hints,mm1_dense_top5,retail,calibrated_linear,17,0,1729,358,413,0.892458,0.896691,0.8902,phase3_block12_v1
prompt_plus_source_hints,mm2_hybrid_top5,airline,calibrated_linear,17,0,1775,349,376,0.984718,0.973183,1.0,phase3_block12_v1
prompt_plus_source_hints,mm2_hybrid_top5,finance,calibrated_linear,17,0,1795,371,334,0.997305,0.997006,0.9976,phase3_block12_v1
prompt_plus_source_hints,mm2_hybrid_top5,healthcare_admin,calibrated_linear,17,0,1729,391,380,0.951833,0.965351,1.0,phase3_block12_v1
prompt_plus_source_hints,mm2_hybrid_top5,research_ai,calibrated_linear,17,0,1733,399,368,0.975311,0.964087,0.9808,phase3_block12_v1
prompt_plus_source_hints,mm2_hybrid_top5,retail,calibrated_linear,17,0,1729,358,413,0.945531,0.947942,0.9534,phase3_block12_v1
prompt_plus_source_hints,mm3_compressed_hybrid_top5,airline,calibrated_linear,17,0,1775,349,376,0.984718,0.973183,1.0,phase3_block12_v1
prompt_plus_source_hints,mm3_compressed_hybrid_top5,finance,calibrated_linear,17,0,1795,371,334,0.997305,0.997006,0.9976,phase3_block12_v1
prompt_plus_source_hints,mm3_compressed_hybrid_top5,healthcare_admin,calibrated_linear,17,0,1729,391,380,0.951833,0.965351,1.0,phase3_block12_v1
prompt_plus_source_hints,mm3_compressed_hybrid_top5,research_ai,calibrated_linear,17,0,1733,399,368,0.975311,0.964087,0.9808,phase3_block12_v1
prompt_plus_source_hints,mm3_compressed_hybrid_top5,retail,calibrated_linear,17,0,1729,358,413,0.945531,0.947942,0.9534,phase3_block12_v1
prompt_text_only,mm0_no_context,airline,calibrated_linear,14,0,1775,349,376,0.0,0.0,0.0,phase3_block12_v1
prompt_text_only,mm0_no_context,finance,calibrated_linear,14,0,1795,371,334,0.0,0.0,0.0,phase3_block12_v1
prompt_text_only,mm0_no_context,healthcare_admin,calibrated_linear,14,0,1729,391,380,0.0,0.0,0.0,phase3_block12_v1
prompt_text_only,mm0_no_context,research_ai,calibrated_linear,14,0,1733,399,368,0.0,0.0,0.0,phase3_block12_v1
prompt_text_only,mm0_no_context,retail,calibrated_linear,14,0,1729,358,413,0.0,0.0,0.0,phase3_block12_v1
prompt_text_only,mm1_dense_top5,airline,calibrated_linear,14,0,1775,349,376,0.544651,0.537234,0.6062,phase3_block12_v1
prompt_text_only,mm1_dense_top5,finance,calibrated_linear,14,0,1795,371,334,0.146226,0.152695,0.5401,phase3_block12_v1
prompt_text_only,mm1_dense_top5,healthcare_admin,calibrated_linear,14,0,1729,391,380,0.717818,0.750877,0.759867,phase3_block12_v1
prompt_text_only,mm1_dense_top5,research_ai,calibrated_linear,14,0,1733,399,368,0.273485,0.280471,0.759568,phase3_block12_v1
prompt_text_only,mm1_dense_top5,retail,calibrated_linear,14,0,1729,358,413,0.163873,0.143664,0.5396,phase3_block12_v1
prompt_text_only,mm2_hybrid_top5,airline,calibrated_linear,14,0,1775,349,376,0.707975,0.659574,0.744667,phase3_block12_v1
prompt_text_only,mm2_hybrid_top5,finance,calibrated_linear,14,0,1795,371,334,0.157008,0.169162,0.58,phase3_block12_v1
prompt_text_only,mm2_hybrid_top5,healthcare_admin,calibrated_linear,14,0,1729,391,380,0.803922,0.829825,0.824067,phase3_block12_v1
prompt_text_only,mm2_hybrid_top5,research_ai,calibrated_linear,14,0,1733,399,368,0.244802,0.282402,0.76311,phase3_block12_v1
prompt_text_only,mm2_hybrid_top5,retail,calibrated_linear,14,0,1729,358,413,0.198324,0.153349,0.601733,phase3_block12_v1
prompt_text_only,mm3_compressed_hybrid_top5,airline,calibrated_linear,14,0,1775,349,376,0.707975,0.659574,0.744667,phase3_block12_v1
prompt_text_only,mm3_compressed_hybrid_top5,finance,calibrated_linear,14,0,1795,371,334,0.157008,0.169162,0.58,phase3_block12_v1
prompt_text_only,mm3_compressed_hybrid_top5,healthcare_admin,calibrated_linear,14,0,1729,391,380,0.803922,0.829825,0.824067,phase3_block12_v1
prompt_text_only,mm3_compressed_hybrid_top5,research_ai,calibrated_linear,14,0,1733,399,368,0.244802,0.282402,0.76311,phase3_block12_v1
prompt_text_only,mm3_compressed_hybrid_top5,retail,calibrated_linear,14,0,1729,358,413,0.198324,0.153349,0.601733,phase3_block12_v1
